Name	Description	URL	MB	Parameters	Downloads	Last Updated
deepseek-r1	DeepSeek's first generation reasoning models with comparable performance to OpenAI-o1.	https://ollama.com/library/deepseek-r1	1126.4	1.5b	160.1K	12 hours ago
deepseek-r1	DeepSeek's first generation reasoning models with comparable performance to OpenAI-o1.	https://ollama.com/library/deepseek-r1	4812.8	7b	160.1K	12 hours ago
deepseek-r1	DeepSeek's first generation reasoning models with comparable performance to OpenAI-o1.	https://ollama.com/library/deepseek-r1	5017.6	8b	160.1K	12 hours ago
deepseek-r1	DeepSeek's first generation reasoning models with comparable performance to OpenAI-o1.	https://ollama.com/library/deepseek-r1	9216	14b	160.1K	12 hours ago
deepseek-r1	DeepSeek's first generation reasoning models with comparable performance to OpenAI-o1.	https://ollama.com/library/deepseek-r1	20480	32b	160.1K	12 hours ago
deepseek-r1	DeepSeek's first generation reasoning models with comparable performance to OpenAI-o1.	https://ollama.com/library/deepseek-r1	44032	70b	160.1K	12 hours ago
deepseek-r1	DeepSeek's first generation reasoning models with comparable performance to OpenAI-o1.	https://ollama.com/library/deepseek-r1	413696	671b	160.1K	12 hours ago
llama3.3	New state of the art 70B model. Llama 3.3 70B offers similar performance compared to the Llama 3.1 405B model.	https://ollama.com/library/llama3.3	44032	70b	818.9K	6 weeks ago
phi4	Phi-4 is a 14B parameter, state-of-the-art open model from Microsoft.	https://ollama.com/library/phi4	9318.4	14b	165.3K	13 days ago
llama3.2	Meta's Llama 3.2 goes small with 1B and 3B models.	https://ollama.com/library/llama3.2	1331.2	1b	7.2M	3 months ago
llama3.2	Meta's Llama 3.2 goes small with 1B and 3B models.	https://ollama.com/library/llama3.2	2048	3b	7.2M	3 months ago
llama3.1	Llama 3.1 is a new state-of-the-art model from Meta available in 8B, 70B and 405B parameter sizes.	https://ollama.com/library/llama3.1	5017.6	8b	19.5M	7 weeks ago
llama3.1	Llama 3.1 is a new state-of-the-art model from Meta available in 8B, 70B and 405B parameter sizes.	https://ollama.com/library/llama3.1	44032	70b	19.5M	7 weeks ago
llama3.1	Llama 3.1 is a new state-of-the-art model from Meta available in 8B, 70B and 405B parameter sizes.	https://ollama.com/library/llama3.1	248832	405b	19.5M	7 weeks ago
mistral	The 7B model released by Mistral AI, updated to version 0.3.	https://ollama.com/library/mistral	4198.4	7b	8M	6 months ago
llama3	Meta Llama 3: The most capable openly available LLM to date	https://ollama.com/library/llama3	4812.8	8b	7.3M	8 months ago
llama3	Meta Llama 3: The most capable openly available LLM to date	https://ollama.com/library/llama3	40960	70b	7.3M	8 months ago
gemma	Gemma is a family of lightweight, state-of-the-art open models built by Google DeepMind. Updated to version 1.1	https://ollama.com/library/gemma	1740.8	2b	4.3M	9 months ago
gemma	Gemma is a family of lightweight, state-of-the-art open models built by Google DeepMind. Updated to version 1.1	https://ollama.com/library/gemma	5120	7b	4.3M	9 months ago
qwen	Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters	https://ollama.com/library/qwen	395	0.5b	4.3M	9 months ago
qwen	Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters	https://ollama.com/library/qwen	1126.4	1.8b	4.3M	9 months ago
qwen	Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters	https://ollama.com/library/qwen	2355.2	4b	4.3M	9 months ago
qwen	Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters	https://ollama.com/library/qwen	4608	7b	4.3M	9 months ago
qwen	Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters	https://ollama.com/library/qwen	8396.8	14b	4.3M	9 months ago
qwen	Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters	https://ollama.com/library/qwen	18432	32b	4.3M	9 months ago
qwen	Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters	https://ollama.com/library/qwen	41984	72b	4.3M	9 months ago
qwen	Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters	https://ollama.com/library/qwen	64512	110b	4.3M	9 months ago
qwen2	Qwen2 is a new series of large language models from Alibaba group	https://ollama.com/library/qwen2	352	0.5b	4M	4 months ago
qwen2	Qwen2 is a new series of large language models from Alibaba group	https://ollama.com/library/qwen2	935	1.5b	4M	4 months ago
qwen2	Qwen2 is a new series of large language models from Alibaba group	https://ollama.com/library/qwen2	4505.6	7b	4M	4 months ago
qwen2	Qwen2 is a new series of large language models from Alibaba group	https://ollama.com/library/qwen2	41984	72b	4M	4 months ago
qwen2.5	Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support.	https://ollama.com/library/qwen2.5	398	0.5b	3.3M	4 months ago
qwen2.5	Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support.	https://ollama.com/library/qwen2.5	986	1.5b	3.3M	4 months ago
qwen2.5	Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support.	https://ollama.com/library/qwen2.5	1945.6	3b	3.3M	4 months ago
qwen2.5	Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support.	https://ollama.com/library/qwen2.5	4812.8	7b	3.3M	4 months ago
qwen2.5	Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support.	https://ollama.com/library/qwen2.5	9216	14b	3.3M	4 months ago
qwen2.5	Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support.	https://ollama.com/library/qwen2.5	20480	32b	3.3M	4 months ago
qwen2.5	Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support.	https://ollama.com/library/qwen2.5	48128	72b	3.3M	4 months ago
phi3	Phi-3 is a family of lightweight 3B (Mini) and 14B (Medium) state-of-the-art open models by Microsoft.	https://ollama.com/library/phi3	2252.8	3.8b	2.8M	5 months ago
phi3	Phi-3 is a family of lightweight 3B (Mini) and 14B (Medium) state-of-the-art open models by Microsoft.	https://ollama.com/library/phi3	8089.6	14b	2.8M	5 months ago
llama2	Llama 2 is a collection of foundation language models ranging from 7B to 70B parameters.	https://ollama.com/library/llama2	3891.2	7b	2.8M	13 months ago
llama2	Llama 2 is a collection of foundation language models ranging from 7B to 70B parameters.	https://ollama.com/library/llama2	7577.6	13b	2.8M	13 months ago
llama2	Llama 2 is a collection of foundation language models ranging from 7B to 70B parameters.	https://ollama.com/library/llama2	39936	70b	2.8M	13 months ago
llava	LLaVA is a novel end-to-end trained large multimodal model that combines a vision encoder and Vicuna for general-purpose visual and language understanding. Updated to version 1.6.	https://ollama.com/library/llava	4812.8	7b	2.6M	11 months ago
llava	LLaVA is a novel end-to-end trained large multimodal model that combines a vision encoder and Vicuna for general-purpose visual and language understanding. Updated to version 1.6.	https://ollama.com/library/llava	8192	13b	2.6M	11 months ago
llava	LLaVA is a novel end-to-end trained large multimodal model that combines a vision encoder and Vicuna for general-purpose visual and language understanding. Updated to version 1.6.	https://ollama.com/library/llava	20480	34b	2.6M	11 months ago
gemma2	Google Gemma 2 is a high-performing and efficient model available in three sizes: 2B, 9B, and 27B.	https://ollama.com/library/gemma2	1638.4	2b	2.4M	5 months ago
gemma2	Google Gemma 2 is a high-performing and efficient model available in three sizes: 2B, 9B, and 27B.	https://ollama.com/library/gemma2	5529.6	9b	2.4M	5 months ago
gemma2	Google Gemma 2 is a high-performing and efficient model available in three sizes: 2B, 9B, and 27B.	https://ollama.com/library/gemma2	16384	27b	2.4M	5 months ago
codellama	A large language model that can use text prompts to generate and discuss code.	https://ollama.com/library/codellama	3891.2	7b	1.6M	6 months ago
codellama	A large language model that can use text prompts to generate and discuss code.	https://ollama.com/library/codellama	7577.6	13b	1.6M	6 months ago
codellama	A large language model that can use text prompts to generate and discuss code.	https://ollama.com/library/codellama	19456	34b	1.6M	6 months ago
codellama	A large language model that can use text prompts to generate and discuss code.	https://ollama.com/library/codellama	39936	70b	1.6M	6 months ago
qwen2.5-coder	The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing.	https://ollama.com/library/qwen2.5-coder	531	0.5b	1.6M	2 months ago
qwen2.5-coder	The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing.	https://ollama.com/library/qwen2.5-coder	986	1.5b	1.6M	2 months ago
qwen2.5-coder	The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing.	https://ollama.com/library/qwen2.5-coder	1945.6	3b	1.6M	2 months ago
qwen2.5-coder	The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing.	https://ollama.com/library/qwen2.5-coder	4812.8	7b	1.6M	2 months ago
qwen2.5-coder	The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing.	https://ollama.com/library/qwen2.5-coder	9216	14b	1.6M	2 months ago
qwen2.5-coder	The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing.	https://ollama.com/library/qwen2.5-coder	20480	32b	1.6M	2 months ago
tinyllama	The TinyLlama project is an open endeavor to train a compact 1.1B Llama model on 3 trillion tokens.	https://ollama.com/library/tinyllama	638	1.1b	1.2M	12 months ago
mxbai-embed-large	State-of-the-art large embedding model from mixedbread.ai	https://ollama.com/library/mxbai-embed-large	670	335m	1M	8 months ago
mistral-nemo	A state-of-the-art 12B model with 128k context length, built by Mistral AI in collaboration with NVIDIA.	https://ollama.com/library/mistral-nemo	7270.4	12b	977.9K	5 months ago
llama3.2-vision	Llama 3.2 Vision is a collection of instruction-tuned image reasoning generative models in 11B and 90B sizes.	https://ollama.com/library/llama3.2-vision	8089.6	11b	910.7K	2 months ago
